FY,amount.gdp,deflator.index.gdp.2012,deflator.index.gdp.2022,amount.deflated.gdp.2012,amount.deflated.gdp.2022
1991,6093175000000,0.6566,0.550284948038887,9279888821200.123,11072763341455.986
1992,6416250000000,0.673,0.5640295005028495,9533803863298.662,11375734769687.965
1993,6775325000000,0.6888,0.577271203486423,9836418408826.945,11736814445412.312
1994,7176850000000,0.7038,0.5898424404961448,10197286160841.148,12167401847115.658
1995,7560425000000,0.7188,0.6024136775058666,10518120478575.404,12550221355036.17
1996,7951325000000,0.7323,0.6137277908146161,10858015840502.527,12955784500887.615
1997,8451025000000,0.7453,0.6246228628897083,11339091640949.953,13529804145981.486
1998,8930800000000,0.7546,0.6324170298357359,11835144447389.344,14121694354624.965
1999,9479350000000,0.7643,0.6405464297686893,12402656025121.025,14798849169174.408
2000,10117450000000,0.78,0.6537043245055314,12971089743589.742,15477104282051.281
2001,10526500000000,0.7984,0.6691250419041234,13184493987975.951,15731738226452.906
2002,10833650000000,0.8112,0.6798524974857526,13355091222879.684,15935294847140.04
2003,11283800000000,0.826,0.6922561180020114,13660774818401.938,16300036513317.191
2004,12025450000000,0.8458,0.708850150854844,14217841097186.096,16964727997162.451
2005,12834150000000,0.8716,0.7304726785115655,14724816429554.842,17569650963744.838
2006,13638375000000,0.8995,0.753855179349648,15162173429683.158,18091505336297.945
2007,14290800000000,0.924,0.7743881997988602,15466233766233.766,18454310129870.13
2008,14743325000000,0.9431,0.7903955749245726,15632833209627.822,18653096585727.918
2009,14431800000000,0.954,0.7995306738183037,15127672955974.844,18050339371069.184
2010,14838850000000,0.9622,0.806402950050285,15421793805861.566,18401284369154.023
2011,15403675000000,0.9814,0.8224941334227288,15695613409415.121,18728005920114.12
2012,16056450000000,1,0.8380824673147838,16056450000000,19158556140000
2013,16603775000000.002,1.0184,0.8535031847133757,16303785349567.951,19453676679104.48
2014,17335575000000,1.038,0.8699296010727455,16700939306358.38,19927560780346.82
2015,18099550000000,1.05,0.879986590680523,17237666666666.666,20567983866666.668
2016,18554775000000,1.0593,0.8877807576265504,17516071934296.234,20900177032002.266
2017,19287650000000,1.0781,0.9035367080120684,17890409052963.547,21346836081996.1
2018,20335525000000,1.1032,0.9245725779416694,18433217005076.145,21994514530456.855
2019,21215700000000,1.1246,0.9425075427422058,18865107593811.133,22509846380935.445
2020,22210900000000,1.1468,0.9611129735165941,19367718869898.848,23109562155563.305
2021,23353100000000,1.1697,0.9803050620181025,19965033769342.566,23822278293579.55
2022,24542700000000,1.1932,1,20568806570566.543,24542700000000
2023,25790700000000,1.2171,1.0200301709688233,21190288390436.28,25284252107468.574
2024,27104100000000,1.2416,1.0405631914180355,21829977448453.61,26047529091494.844
2025,28472700000000,1.2665,1.0614314448541735,22481405448085.273,26824812980655.35
